group,id,tcode,fred,description,gsi,gsi:description,asterisk
Output and Income,1,5,RPI,Real Personal Income,M_14386177,PI,NaN
Output and Income,2,5,W875RX1,Real personal income ex transfer receipts,M_145256755,PI less transfers,NaN
Output and Income,6,5,INDPRO,IP Index,M_116460980,IP: total,NaN
Output and Income,7,5,IPFPNSS,IP: Final Products and Nonindustrial Supplies,M_116460981,IP: products,NaN
Output and Income,8,5,IPFINAL,IP: Final Products (Market Group),M_116461268,IP: final prod,NaN
Output and Income,9,5,IPCONGD,IP: Consumer Goods,M_116460982,IP: cons gds,NaN
Output and Income,10,5,IPDCONGD,IP: Durable Consumer Goods,M_116460983,IP: cons dble,NaN
Output and Income,11,5,IPNCONGD,IP: Nondurable Consumer Goods,M_116460988,IP: cons nondble,NaN
Output and Income,12,5,IPBUSEQ,IP: Business Equipment,M_116460995,IP: bus eqpt,NaN
Output and Income,13,5,IPMAT,IP: Materials,M_116461002,IP: matls,NaN
Output and Income,14,5,IPDMAT,IP: Durable Materials,M_116461004,IP: dble matls,NaN
Output and Income,15,5,IPNMAT,IP: Nondurable Materials,M_116461008,IP: nondble matls,NaN
Output and Income,16,5,IPMANSICS,IP: Manufacturing (SIC),M_116461013,IP: mfg,NaN
Output and Income,17,5,IPB51222S,IP: Residential Utilities,M_116461276,IP: res util,NaN
Output and Income,18,5,IPFUELS,IP: Fuels,M_116461275,IP: fuels,NaN
Output and Income,19,1,NAPMPI,ISM Manufacturing: Production Index,M_110157212,NAPM prodn,NaN
Output and Income,20,2,CUMFNS,Capacity Utilization: Manufacturing,M_116461602,Cap util,NaN
Labor Market,21,2,HWI,Help-Wanted Index for United States,NaN,Help wanted indx,*
Labor Market,22,2,HWIURATIO,Ratio of Help Wanted/No. Unemployed,M_110156531,Help wanted/unemp,*
Labor Market,23,5,CLF16OV,Civilian Labor Force,M_110156467,Emp CPS total,NaN
Labor Market,24,5,CE16OV,Civilian Employment,M_110156498,Emp CPS nonag,NaN
Labor Market,25,2,UNRATE,Civilian Unemployment Rate,M_110156541,U: all,NaN
Labor Market,26,2,UEMPMEAN,Average Duration of Unemployment (Weeks),M_110156528,U: mean duration,NaN
Labor Market,27,5,UEMPLT5,Civilians Unemployed - Less Than 5 Weeks,M_110156527,U < 5 wks,NaN
Labor Market,28,5,UEMP5TO14,Civilians Unemployed for 5-14 Weeks,M_110156523,U 5-14 wks,NaN
Labor Market,29,5,UEMP15OV,Civilians Unemployed - 15 Weeks & Over,M_110156524,U 15+ wks,NaN
Labor Market,30,5,UEMP15T26,Civilians Unemployed for 15-26 Weeks,M_110156525,U 15-26 wks,NaN
